;time;open;high;low;close;tick_volume;spread;real_volume
0;2016-09-13 00:00:00;0.97165;0.97195;0.97139;0.9718;1472;7;0
1;2016-09-13 01:00:00;0.97195;0.97224;0.97154;0.97178;19736;0;0
2;2016-09-13 02:00:00;0.97178;0.97233;0.97134;0.97155;10539;0;0
3;2016-09-13 03:00:00;0.97152;0.97269;0.97146;0.9723;10169;0;0
4;2016-09-13 04:00:00;0.9723;0.97237;0.97158;0.97189;10103;0;0
5;2016-09-13 05:00:00;0.97189;0.97219;0.9715;0.97191;9552;0;0
6;2016-09-13 06:00:00;0.97191;0.97201;0.97143;0.97163;6224;0;0
7;2016-09-13 07:00:00;0.97167;0.97208;0.9714;0.97197;8626;0;0
8;2016-09-13 08:00:00;0.97197;0.9722;0.97151;0.97212;6922;0;0
9;2016-09-13 09:00:00;0.97212;0.97258;0.97163;0.97215;17381;0;0
10;2016-09-13 10:00:00;0.97215;0.97362;0.972;0.97276;21011;0;0
11;2016-09-13 11:00:00;0.97275;0.97302;0.97191;0.97224;20671;0;0
12;2016-09-13 12:00:00;0.97231;0.97323;0.97218;0.973;19207;0;0
13;2016-09-13 13:00:00;0.973;0.97312;0.97163;0.97219;19801;0;0
14;2016-09-13 14:00:00;0.97219;0.97266;0.97164;0.9719;19741;0;0
15;2016-09-13 15:00:00;0.9719;0.97212;0.9707;0.97161;25342;0;0
16;2016-09-13 16:00:00;0.97161;0.97309;0.97154;0.97279;26442;0;0
17;2016-09-13 17:00:00;0.9728;0.97401;0.97077;0.97395;30530;0;0
18;2016-09-13 18:00:00;0.97394;0.97447;0.97241;0.97398;25057;0;0
19;2016-09-13 19:00:00;0.974;0.97595;0.97368;0.97549;21639;0;0
20;2016-09-13 20:00:00;0.97549;0.9775;0.97549;0.97639;25980;0;0
21;2016-09-13 21:00:00;0.97637;0.97845;0.97634;0.97759;19141;0;0
22;2016-09-13 22:00:00;0.97759;0.97787;0.97682;0.97698;13981;0;0
23;2016-09-13 23:00:00;0.97698;0.97701;0.97621;0.97624;5929;0;0
24;2016-09-14 00:00:00;0.97597;0.97726;0.97573;0.97708;4800;5;0
25;2016-09-14 01:00:00;0.9771;0.97734;0.97655;0.97695;9804;0;0
26;2016-09-14 02:00:00;0.97695;0.97716;0.97676;0.97688;4933;0;0
27;2016-09-14 03:00:00;0.97688;0.97747;0.97673;0.97709;9867;0;0
28;2016-09-14 04:00:00;0.97709;0.97774;0.97687;0.97735;11642;0;0
29;2016-09-14 05:00:00;0.97735;0.97756;0.97675;0.97735;9397;0;0
30;2016-09-14 06:00:00;0.97735;0.97774;0.97678;0.9769;11006;0;0
31;2016-09-14 07:00:00;0.97692;0.97734;0.97651;0.97668;7805;0;0
32;2016-09-14 08:00:00;0.97669;0.97702;0.97639;0.9769;7285;0;0
33;2016-09-14 09:00:00;0.97689;0.97738;0.97585;0.97623;18590;0;0
34;2016-09-14 10:00:00;0.97628;0.97744;0.97613;0.97728;20889;0;0
35;2016-09-14 11:00:00;0.97728;0.97897;0.97609;0.97815;21447;0;0
36;2016-09-14 12:00:00;0.97815;0.97851;0.97486;0.97586;23003;0;0
37;2016-09-14 13:00:00;0.97586;0.97622;0.97511;0.97566;15850;0;0
38;2016-09-14 14:00:00;0.97566;0.97575;0.97432;0.97556;20169;0;0
39;2016-09-14 15:00:00;0.97556;0.97559;0.97446;0.975;21762;0;0
40;2016-09-14 16:00:00;0.975;0.97629;0.9746;0.97553;26419;0;0
41;2016-09-14 17:00:00;0.97553;0.97555;0.97293;0.97389;29327;0;0
42;2016-09-14 18:00:00;0.97389;0.97389;0.97076;0.97095;27642;0;0
43;2016-09-14 19:00:00;0.97095;0.97269;0.97063;0.97256;19122;0;0
44;2016-09-14 20:00:00;0.97256;0.97386;0.97225;0.97359;18009;0;0
