;time;open;high;low;close;tick_volume;spread;real_volume
0;2016-09-13 00:00:00;101.838;101.936;101.811;101.921;4520;0;0
1;2016-09-13 01:00:00;101.921;101.986;101.816;101.861;17984;0;0
2;2016-09-13 02:00:00;101.861;101.927;101.729;101.738;14190;0;0
3;2016-09-13 03:00:00;101.738;101.789;101.464;101.534;28015;0;0
4;2016-09-13 04:00:00;101.534;101.658;101.419;101.542;27840;0;0
5;2016-09-13 05:00:00;101.542;101.726;101.497;101.714;26371;0;0
6;2016-09-13 06:00:00;101.714;101.782;101.662;101.721;22083;0;0
7;2016-09-13 07:00:00;101.721;102.042;101.718;101.957;24996;0;0
8;2016-09-13 08:00:00;101.953;101.98;101.845;101.896;23272;0;0
9;2016-09-13 09:00:00;101.896;101.995;101.837;101.852;28961;0;0
10;2016-09-13 10:00:00;101.852;102.011;101.789;101.821;35680;0;0
11;2016-09-13 11:00:00;101.821;101.873;101.714;101.773;32639;0;0
12;2016-09-13 12:00:00;101.779;101.995;101.754;101.94;30499;0;0
13;2016-09-13 13:00:00;101.939;102.305;101.85;102.203;33181;0;0
14;2016-09-13 14:00:00;102.203;102.326;102.171;102.258;30330;0;0
15;2016-09-13 15:00:00;102.258;102.347;102.158;102.316;33938;0;0
16;2016-09-13 16:00:00;102.316;102.425;102.171;102.214;35464;0;0
17;2016-09-13 17:00:00;102.212;102.322;102.057;102.176;37770;0;0
18;2016-09-13 18:00:00;102.176;102.239;102.062;102.148;34408;0;0
19;2016-09-13 19:00:00;102.148;102.294;102.114;102.201;32092;0;0
20;2016-09-13 20:00:00;102.201;102.729;102.195;102.558;37675;0;0
21;2016-09-13 21:00:00;102.557;102.75;102.545;102.704;29665;0;0
22;2016-09-13 22:00:00;102.703;102.734;102.616;102.659;28201;0;0
23;2016-09-13 23:00:00;102.659;102.666;102.54;102.541;17434;0;0
24;2016-09-14 00:00:00;102.544;102.589;102.523;102.551;4528;1;0
25;2016-09-14 01:00:00;102.548;102.58;102.476;102.51;13582;0;0
26;2016-09-14 02:00:00;102.51;102.574;102.426;102.496;16474;0;0
27;2016-09-14 03:00:00;102.497;102.875;102.493;102.782;27214;0;0
28;2016-09-14 04:00:00;102.782;103.193;102.725;103.052;31693;0;0
29;2016-09-14 05:00:00;103.052;103.094;102.922;102.996;26125;0;0
30;2016-09-14 06:00:00;102.995;103.073;102.876;102.906;22914;0;0
31;2016-09-14 07:00:00;102.906;103.009;102.849;102.942;20799;0;0
32;2016-09-14 08:00:00;102.942;103.048;102.865;102.941;22196;0;0
33;2016-09-14 09:00:00;102.941;103.355;102.931;103.266;32241;0;0
34;2016-09-14 10:00:00;103.266;103.321;103.063;103.122;34926;0;0
35;2016-09-14 11:00:00;103.124;103.248;102.828;102.911;32569;0;0
36;2016-09-14 12:00:00;102.911;102.928;102.571;102.748;33780;0;0
37;2016-09-14 13:00:00;102.748;102.749;102.65;102.694;26445;0;0
38;2016-09-14 14:00:00;102.694;102.779;102.473;102.76;31464;0;0
39;2016-09-14 15:00:00;102.76;102.855;102.75;102.805;28589;0;0
40;2016-09-14 16:00:00;102.805;102.973;102.667;102.746;35123;0;0
41;2016-09-14 17:00:00;102.746;102.761;102.52;102.649;37145;0;0
42;2016-09-14 18:00:00;102.649;102.672;102.308;102.348;35478;0;0
43;2016-09-14 19:00:00;102.348;102.495;102.301;102.485;27344;0;0
44;2016-09-14 20:00:00;102.485;102.548;102.348;102.388;28249;0;0
45;2016-09-14 21:00:00;102.388;102.423;102.25;102.398;27129;0;0
46;2016-09-14 22:00:00;102.398;102.448;102.327;102.437;22733;0;0
47;2016-09-14 23:00:00;102.437;102.464;102.365;102.407;13899;0;0
48;2016-09-15 00:00:00;102.406;102.424;102.324;102.335;5243;1;0
49;2016-09-15 01:00:00;102.336;102.466;102.326;102.466;15335;0;0
50;2016-09-15 02:00:00;102.467;102.602;102.351;102.553;18439;0;0
51;2016-09-15 03:00:00;102.553;102.611;102.388;102.432;24645;0;0
