;time;open;high;low;close;tick_volume;spread;real_volume
0;2016-09-13 00:00:00;1.33346;1.33408;1.33303;1.33352;2972;0;0
1;2016-09-13 01:00:00;1.33352;1.33381;1.3332;1.33349;22755;0;0
2;2016-09-13 02:00:00;1.33349;1.33393;1.33276;1.33353;17395;0;0
3;2016-09-13 03:00:00;1.33353;1.33381;1.33172;1.33242;21420;0;0
4;2016-09-13 04:00:00;1.33242;1.33305;1.33183;1.33259;17267;0;0
5;2016-09-13 05:00:00;1.33259;1.33319;1.33232;1.3324;19744;0;0
6;2016-09-13 06:00:00;1.3324;1.33371;1.33231;1.33355;15510;0;0
7;2016-09-13 07:00:00;1.33355;1.33381;1.33335;1.33375;16195;0;0
8;2016-09-13 08:00:00;1.33378;1.33388;1.33193;1.33209;18146;0;0
9;2016-09-13 09:00:00;1.33209;1.33294;1.33127;1.33176;26191;0;0
10;2016-09-13 10:00:00;1.33175;1.33193;1.32976;1.3311899999999999;32216;0;0
11;2016-09-13 11:00:00;1.33117;1.33282;1.32974;1.33005;32677;0;0
12;2016-09-13 12:00:00;1.33005;1.33033;1.32625;1.32646;31342;0;0
13;2016-09-13 13:00:00;1.32646;1.32728;1.32535;1.32693;31161;0;0
14;2016-09-13 14:00:00;1.32693;1.32693;1.32454;1.32504;29964;0;0
15;2016-09-13 15:00:00;1.32504;1.3269199999999999;1.32177;1.32227;36020;0;0
16;2016-09-13 16:00:00;1.32227;1.32234;1.31905;1.31944;37644;0;0
17;2016-09-13 17:00:00;1.31944;1.32092;1.31805;1.31812;39957;0;0
18;2016-09-13 18:00:00;1.31812;1.31916;1.31676;1.31822;35336;0;0
19;2016-09-13 19:00:00;1.31821;1.31998;1.31802;1.3198699999999999;30674;0;0
20;2016-09-13 20:00:00;1.3199;1.32101;1.3182;1.32027;33215;0;0
21;2016-09-13 21:00:00;1.32028;1.32033;1.31784;1.31852;29608;0;0
22;2016-09-13 22:00:00;1.31852;1.31981;1.31822;1.31928;24128;0;0
